order_id,date,time,datetime_timestamp,order_details_id,pizza_id,pizza_type_id,name,category,ingredients,quantity,size,price,bill_amount,dbt_DateCreated,dbt_TimeCreated
2617,2024-08-21,13:56:56.381983,2024-08-21 09:56:56.381983,2622,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
542,2024-06-01,08:44:58.005336,2024-06-01 04:44:58.005336,547,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
2075,2024-07-13,15:03:42.544728,2024-07-13 11:03:42.544728,2080,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
822,2024-06-06,12:17:11.188423,2024-06-06 08:17:11.188423,827,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
237,2024-05-28,15:08:22.405847,2024-05-28 11:08:22.405847,242,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
3345,2024-09-05,14:49:37.552946,2024-09-05 10:49:37.552946,3350,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
1264,2024-06-12,10:01:10.436324,2024-06-12 06:01:10.436324,1269,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
4765,2025-04-19,10:23:02.731132,2025-04-19 06:23:02.731132,4770,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
3768,2024-10-12,08:00:06.620091,2024-10-12 04:00:06.620091,3773,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
655,2024-06-04,12:28:04.303135,2024-06-04 08:28:04.303135,660,BBQ_CKN_L,BBQ_CKN,THE BBQ CHICKEN SPECIAL,CHICKEN,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1,L,33,33,2025-04-27,23:30:35.605582
